編號,身份職業,AI使用頻率,付費AI經驗,對AI與Agent的態度,最想讓AI幫忙的工作,主要卡點（複選）,最想看的示範,課後最想帶走的東西（複選）
P01,大學專任教師（人文學院）,每週幾次,使用學校或單位帳號,想導入成固定流程,把研究資料整理成文獻摘要,"AI結果要一直改、資料太分散",研究資料整理成摘要,"能自己設計AI工作流、建立自己的知識庫"
P02,大學專任教師（理工學院）,幾乎每天,自己付費,想導入成固定流程,把研究數據分析結果整理成報告,"AI回答太空泛、AI結果要一直改",研究資料整理成摘要,"建立自己的知識庫、能自己設計AI工作流、把重複工作交給AI的方法"
P03,大學兼任講師,偶爾使用,只用免費版,想試試看能做什麼,把課綱整理成上課投影片,"不知道怎麼下指令、AI回答太空泛",資料整理成簡報,"可直接複製的提示詞、一套可照做的Agent工作流程"
P04,大學專任教師（教育學院）,每週幾次,使用學校或單位帳號,想直接省時間,把課程資料整理成教案,"AI結果要一直改、不知道怎麼變成正式文件",課程資料整理成教案,"一套可照做的Agent工作流程、建立自己的知識庫、教師常用案例"
P05,教務處行政人員,偶爾使用,使用學校或單位帳號,觀望但知道重要,把系務會議資料整理成會議記錄,"資料太多、資料太分散、不知道怎麼變成正式文件",會議記錄整理,"建立自己的知識庫、行政常用案例、把重複工作交給AI的方法"
P06,大學專任教師（管理學院）,已固定用在工作流程中,自己付費,想導入成固定流程,把課後教學意見回饋整理成下一版課程調整,"不知道怎麼變成可重複的流程、AI結果要一直改",把流程變成可重複的技能包,"能自己設計AI工作流、建立自己的知識庫、把重複工作交給AI的方法"
P07,系所行政助理,每週幾次,使用學校或單位帳號,想直接省時間,把活動資訊整理成公告與通知,"AI結果要一直改、不知道怎麼變成正式文件",活動資訊整理成企劃或公告,"行政常用案例、一套可照做的Agent工作流程"
P08,大學專任教師（外語學院）,每週幾次,只用免費版,想學會怎麼判斷結果,把外文文獻整理成中文摘要,"AI回答太空泛、資料太分散",研究資料整理成摘要,"能自己設計AI工作流、AI工具選擇建議"
P09,研究發展處行政人員,偶爾使用,使用學校或單位帳號,想導入成固定流程,把計畫申請資料整理成成果報告,"資料太多、擔心資料安全或個資、不知道怎麼變成正式文件",活動資訊整理成企劃或公告,"建立自己的知識庫、行政常用案例、把重複工作交給AI的方法"
P10,大學兼任講師,偶爾使用,只用免費版,想直接省時間,把上課教材整理成簡報,"AI結果要一直改、不知道怎麼下指令",資料整理成簡報,"一套可照做的Agent工作流程、可直接複製的提示詞"
P11,大學專任教師（人文學院）,幾乎每天,自己付費,想導入成固定流程,把訪談逐字稿整理成研究摘要,"資料太多、AI回答太空泛",訪談或問卷整理成洞察,"建立自己的知識庫、能自己設計AI工作流"
P12,學務處行政人員,每週幾次,使用學校或單位帳號,觀望但知道重要,把學生輔導與活動紀錄整理成報告,"擔心資料安全或個資、資料太分散",會議記錄整理,"行政常用案例、建立自己的知識庫、AI工具選擇建議"
P13,大學專任教師（理工學院）,偶爾使用,使用學校或單位帳號,想學會怎麼判斷結果,出考題與課程講義,"AI回答太空泛、AI結果要一直改",課程資料整理成教案,"教師常用案例、一套可照做的Agent工作流程"
